label,text,is_valid
SECRETARIA DE ESTADO DE DESENVOLVIMENTO URBANO E HABITAÇÃO,"O Termo de Recebimento Definitivo declarará formalmente à Contratada que os serviços prestados ou
os bens fornecidos foram devidamente avaliados e atendem aos requisitos estabelecidos em
contrato.
Contrato nº 027/2017;
Contratada: Milênio Gráfica e Papelaria LTDA - ME;
Contratante: Companhia de Desenvolvimento Habitacional do Distrito Federal - CODHAB/DF.
OBJETO: Prestação de serviços de impressão (plotagem) de mapas e projetos da Companhia de
Desenvolvimento Habitacional do Distrito Federal - CODHAB/DF.
.
ESPECIFICAÇÃO DOS PRODUTOS / SERVIÇOS E VOLUMES DE EXECUÇÃO
.
Item Descrição de Produto e Serviço
NF-e
Data
Total
(R$)
.
1 Plotagens monocromática, color vector e color solid
em papel sulfite 75 g/m²
948 08/09/2017 1.557,20
.
2 Plotagens monocromática, color vector e color solid
em papel sulfite 75 g/m²
1018 15/12/2017 1.677,80
.
3 Plotagens monocromática, color vector e color solid
em papel sulfite 75 g/m²
1140 02/08/2018 2.619,80
.
4 Plotagens monocromática, color vector e color solid
em papel sulfite 75 g/m²
1192 05/11/2018 805,40
.
TOTAL DOS ITENS
6.600,20
Por este instrumento, atestamos que os serviços integrantes das NFs acima identificadas, ou conforme
definido no Modelo de Execução do contrato supracitado, atendem às exigências especificadas no
Termo de Referência / Projeto Básico do Contrato acima referenciado.
Brasília/DF, 27 de dezembro de 2018.
MARCELO ULISSES PIMENTA - Matr.: 8176
CONTRATANTE - Fiscal Técnico do Contrato
MILSON FERREIRA DE OLIVEIRA - CPF: 398.436.961-15
CONTRATADA - Preposto",False
"SECRETARIA DE ESTADO DE FAZENDA, PLANEJAMENTO, ORÇAMENTO E GESTÃO","O DISTRITO FEDERAL, por intermédio da Diretoria de Administração e Finanças do Instituto de
Previdência dos Servidores do Distrito Federal - Iprev/DF, TORNA PÚBLICA A INTENÇÃO DE
LOCAÇÃO DE IMÓVEL, pelo prazo de 60 (sessenta) meses, podendo ser prorrogado a critério da
Administração, com área total de 2.300 m² (dois mil e trezentos metros quadrados), contendo no
mínimo 80 (oitenta) vagas de garagem privativa, localizado na área Central do Distrito Federal (Plano
Piloto), conforme especificações contidas no Projeto Básico, para instalação da sede do Instituto de
Previdência dos Servidores do Distrito Federal - Iprev/DF. Objeto do Processo nº
00413.0000.2310/2018-07, conforme o Inciso X do Art. 24 e o Art. 26, ambos da Lei Federal no
8.666, de 21 de junho de 1993 e alterações posteriores. O Edital de Chamamento Público estará
disponível no sítio eletrônico do Iprev: www.iprev.df.gov.br ou poderá ser retirado no endereço SCS
Quadra 09 Torre B 1º Andar - Salas 103 a 105 - PROTOCOLO, Edifício Parque Cidade Corporate
- Asa Sul CEP: 70.308-200, Brasília/DF. Data para retirada do Edital de Chamamento e entrega de
propostas: de 07 (sete) dias úteis, compreendendo período de 15/01/2019 ao dia 23/01/2019 de 08:00
às 18:00. As propostas comerciais deverão estar em envelopes lacrados e serem endereçadas à
Comissão de Locação de Imóvel instituída pela Portaria n° 145, de 03 de julho de 2018, publicada
no DODF nº 126, de 05 de julho de 2018. O procedimento de contratação de locação de imóvel
reger-se-á de acordo com a legislação vigente, reservando-se o Instituto de Previdência dos Servidores
do Distrito Federal - Iprev/DF, optar pela proposta comercial que melhor atender as suas necessidades
operacionais.
JOSÉ EDUARDO COUTO RIBEIRO
Diretor",False
SECRETARIA DE ESTADO DE SAÚDE,"O SECRETÁRIO DE ESTADO DE SAÚDE DO DISTRITO FEDERAL, no uso da atribuição que lhe
confere o Decreto nº 34.239, de 26 de março de 2013, publicado no DODF nº 63, de 27 de março de 2013
(fl. 2), Considerando o Contrato de Gestão nº 1/2014, firmado entre o Distrito Federal e o Instituto do
Câncer Infantil e Pediatria Especializada (ICIPE); Considerando o Parecer nº 355/2012 da
PROPES/PGDF, e Considerando o Decreto nº 34.155, de 21 de fevereiro de 2013, publicado no DODF
nº 39, de 22 de fevereiro de 2013 (pag. 13, item 9.30), o qual inclui o Hospital da Criança de Brasília
(HCB), José de Alencar, na estrutura da Secretária de Estado de Saúde do Distrito Federal, resolve:
Art. 1º Autorizar a cessão da servidora JOSEETE MENDONÇA MESQUITA DOS ANJOS, matrícula nº
159.241-6, ao HCB.
Art. 2º Para efeitos de controle de frequência, os servidores em questão serão cadastrados com status
""cedido"" no Sistema ForPonto.
Art. 3º O HCB encaminhará mensalmente à Comissão de Acompanhamento do Contrato de Gestão do
Hospital da Criança de Brasília (CACG-HCB) as folhas de ponto dos servidores, devidamente atestadas,
a contar de 7 de julho de 2018.
Art. 4º Esta Portaria entra em vigor na data de sua publicação.
OSNEI OKUMOTO",False
SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA,"O DIRETOR-GERAL DO DEPARTAMENTO DE TRÂNSITO DO DISTRITO FEDERAL, no uso da
atribuição prevista no art. 3º, do Decreto nº 39.002, de 24 de abril de 2018, que regulamenta os arts. 44 e 45 da
Lei Complementar nº 840, de 23 de dezembro de 2011, e conforme Processo SEI nº 00055-00164839/2018-95,
resolve: DESIGNAR FLÁVIO ALVES ROSA, Assistente de Trânsito, matrícula 250.427-8, para Substituir
MARCELO VILELA MORAIS, Assistente de Trânsito, matrícula 1.442-7, gerente, símbolo DFG-14, da
Gerência de Fiscalização Administrativa de Veículo e Habilitação - Gerfad, da Diretoria de Controle de
Veículos e Condutores - Dirconv, do Detran/DF, no período de 07 a 16 de janeiro de 2019, por motivo de férias
do titular.
FABRÍCIO LIMA DE ANDRADE MOURA",False
PODER LEGISLATIVO,"Processo: 001-000.676/2018. Objeto: aquisição de material de copa e cozinha. Vencedores: Item 1:
Fênix Brasil - Compra, Venda, Importação e Exportação EIRELI, CNPJ: 08.608.621/0001-64, valor:
R$ 1.393,00; itens 2, 3, 6 e 16: CDV Comercial de Alimentos, CNPJ: 05.205.399/0001-60, valor total
R$ 30.419,08; item 4: Cetil Suprimentos EIRELI, CNPJ: 06.108.772/0001-28, valor R$ 1.536,80; itens
5, 7, 9, 12 e 15: NB Distribuidora e Importadora de Produtos e Equipamentos EIRELI - ME, CNPJ:
20.425.201/0001-48, valor total R$ 2.701,90; item 8: Comercial Marelly EIRELI - ME, CNPJ:
13.986.656-77, valor R$ 1.056,00; item 10: Gold Comércio de Equipamentos EIRELI, CNPJ:
11.464.383/0001-75, valor R$ 2.713,90. Os itens 11, 13 e 14 fracassaram. A ata da sessão encontra-
se afixada no quadro de avisos da CPL/CLDF e disponibilizada nos endereços eletrônicos
www.cl.df.gov.br e www.comprasgovernamentais.gov.br - UASG: 974004. Maiores informações pelo
telefone (61) 3348-8650.
Brasília/DF, 10 de janeiro de 2019
EDSON CÂNDIDO DE OLIVEIRA
Pregoeiro",False
TRIBUNAL DE CONTAS DO DISTRITO FEDERAL,"O PRESIDENTE EM EXERCÍCIO DO TRIBUNAL DE CONTAS DO DISTRITO FEDERAL, no uso
da atribuição que lhe confere o inciso III do art. 68 da Lei Complementar nº 1, de 9 de maio de
1994, e tendo em vista o que se apresenta no Processo nº 28/2019-e, resolve: NOMEAR, nos termos
do inciso II do art. 14 da Lei Complementar nº 840, de 23 de dezembro de 2011, LEONARDO
MOREIRA CARVALHO, matrícula nº 1554-7, Técnico de Administração Pública, Classe A, Padrão
30, do Quadro de Pessoal dos Serviços Auxiliares, para exercer o cargo em comissão de Assessor,
símbolo TC-CCA-1, do Gabinete do Conselheiro José Roberto de Paiva Martins.
MÁRCIO MICHEL",False
SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA,"PROCESSO: 052.002.276/2016. PARTES: Distrito Federal/Polícia Civil X Zênite Construções e
Tecnologia Eireli. OBJETO: Prorrogação do prazo de vigência do contrato por mais 180 (cento e
oitenta) dias, ou seja, até 12 de julho de 2019, com base no art. 57, § 2º da Lei nº 8.666/93. DA
VIGÊNCIA: O presente Termo Aditivo entra em vigência a partir da data de sua assinatura. DA
RATIFICAÇÃO: Permanecem inalteradas as demais cláusulas do Contrato a que se refere o presente
Termo Aditivo. DATA DE ASSINATURA: 26/12/2018. SIGNATÁRIOS: PELO DISTRITO
FEDERAL: Cícero Jairo de Vasconcelos Monteiro, na qualidade de Diretor Geral. PELA
CONTRATADA: Luis Henrique da Silva, na qualidade de Representante Legal.",False
SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA,"PROCESSO: 052.000.052/2017. PARTES: Distrito Federal/Polícia Civil X Forma Office Comércio de
Móveis e Interiores Ltda. OBJETO: Prorrogação do prazo de vigência do contrato por mais 90
(noventa) dias, ou seja, até 26 de março de 2019, nos termos do Artigo 57, § 2º, da Lei nº 8.666/93.
DA VIGÊNCIA: O presente Termo Aditivo entra em vigência a partir da data de sua assinatura. DA
RATIFICAÇÃO: Permanecem inalteradas as demais cláusulas do Contrato a que se refere o presente
Termo Aditivo. DATA DE ASSINATURA: 24/12/2018. SIGNATÁRIOS: PELO DISTRITO
FEDERAL: Cícero Jairo de Vasconcelos Monteiro, na qualidade de Diretor-Geral. PELA
CONTRATADA: Mauro Kropf Barbosa, na qualidade de Representante Legal.",False
SECRETARIA DE ESTADO DE EDUCAÇÃO,"A SUBSECRETÁRIA DE GESTÃO DE PESSOAS, DA SECRETARIA DE ESTADO DE
EDUCAÇÃO DO DISTRITO FEDERAL, no uso das atribuições que lhe são conferidas pela alínea
""b"" do inciso IX do art. 4º da Portaria nº 376, de 13/11/2018, resolve: CESSAR, o afastamento em
razão da desincompatibilização do agente público concedido aos servidores abaixo relacionados.
Relação por nome de servidor, matrícula, vigência e processo.
CARLOS HENRIQUE MOTA DE MORAES, 208.653-0, 18/10/2018, 00080-00110401/2018-16;
CHARLES JATOBÁ QUEIROZ SANT'ANA, 225.708-4, 17/10/2018, 00080-00115013/2018-21;
HÉRCULES CEZÁRIO DA SILVA DO NASCIMENTO, 239.915-6, 18/10/2018, 00080-
00106749/2018-17; JACIRA SIQUEIRA SILVA, 206.702-1, 18/10/2018, 00080-00106797/2018-05;
SIHAMI JABER MUDARRA, 43.029-3, 18/10/2018, 00080-00106818/2018-84; VIRGÍLIO MACEDO
DE SOUZA, 201.216-2, 18/10/2018, 00080-00110698/2018-10.
KELLY CRISTINA RIBEIRO DE ANDRADE",False
SECRETARIA DE ESTADO DE EDUCAÇÃO,"O SUBSECRETÁRIO DE ADMINISTRAÇÃO GERAL, DA SECRETARIA DE ESTADO DE
EDUCAÇÃO DO DISTRITO FEDERAL, no uso de suas atribuições que lhe são conferidas pela Portaria
n° 376, de 13 de novembro de 2018, Artigo 3º, acatando as indicações das áreas competentes, resolve:
Art. 1º. Dispensar ANTONIO JOSÉ LIMA CAVAIGNAC, matrícula 45.769-8, executor titular, e
ADRIANNE YUKA HATTORI WERNER, matrícula 220.574-2, executora suplente, do Contrato nº.
01/2018, firmado entre a SEEDF e a empresa CONTARPP ENGENHARIA LTDA, objeto do processo nº.
080.005639/2015.
Art. 2º. Designar FREDERICO ROCHA SALGE, matrícula n°. 219.792-8, executor titular, e
LEONARDO CHAVES FEHLBERG BALDUINO, executor suplente, do Contrato nº. 01/2018, firmado
entre a SEEDF e a empresa CONTARPP ENGENHARIA LTDA, objeto do processo nº.
080.005639/2015.
Art. 3º. Esta Ordem de Serviço entra em vigor na data de sua publicação.
FRANCISCO DAS CHAGAS PAIVA DA SILVA",False
SECRETARIA DE ESTADO DE EDUCAÇÃO,"O SUBSECRETÁRIO DE ADMINISTRAÇÃO GERAL, DA SECRETARIA DE ESTADO DE
EDUCAÇÃO DO DISTRITO FEDERAL, no uso de suas atribuições que lhe são conferidas pela Portaria
n° 376, de 13 de novembro de 2018, artigo 3º, acatando as indicações das áreas competentes, resolve:
Art. 1°. Designar DELEIR INÁCIO DE ASSIS, matrícula n° 212.416-5, executor titular, e KARLA SILVA
FERREIRA DA COSTA DIAS, matrícula n° 46.143-1, executora suplente, do Contrato n°. 81/2018,
firmado entre a SEEDF e a empresa FCB TRANSPORTES LOGÍSTICA E SERVIÇOS GERAIS LTDA,
objeto do processo n°. 00080.00112963/2018-02, ambos lotados na CRE Brazlândia.
Art. 2°. Esta Ordem de Serviço entra em vigor na data de sua publicação.
FRANCISCO DAS CHAGAS PAIVA DA SILVA",False
SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,"O DIRETORA GERAL DO INSTITUTO DE DEFESA DO CONSUMIDOR DO DISTRITO FEDERAL,
no uso das atribuições de que trata o art. 26, do Regimento Interno do PROCON-DF, Decreto n.º 38.927,
DE 13 de MARÇO DE 2018. resolve:
Art. 1º Constituir Comissão Inventariante que trabalhará na elaboração do Inventário Físico Patrimonial de
Bens Móveis, Imóveis e Semoventes do Instituto de Defesa do Consumidor - PROCON-DF referente ao
exercício de 2018.
Art. 2º Designar os servidores RICARDO PEREIRA DA COSTA, matrícula n.º 240222X, DAMYLLA
MARIA COSTA ELOI, matrícula n.º 2343363 e ANDRE BORINI FERREIRA DIAS, matrícula n.º
2326256, sob a presidência do primeiro para comporem a referida comissão.
Art. 3º Esta Ordem de Serviço entra em vigor na data de sua publicação.
IVONEIDE SOUZA MACHADO ANDRADE OLIVEIRA
(*) Republicado por ter sido encaminhado com incorreção no original, publicado no DODF nº 238, de
17/12/2018, página 50.",False
"SECRETARIA DE ESTADO DE FAZENDA, PLANEJAMENTO, ORÇAMENTO E GESTÃO","O SUBSECRETÁRIO DE ADMINISTRAÇÃO GERAL, DA SECRETARIA DE ESTADO DE FAZENDA,
PLANEJAMENTO, ORÇAMENTO E GESTÃO DO DISTRITO FEDERAL, no uso de suas atribuições
regimentais e tendo em vista o disposto no artigo 1º, inciso II, da Portaria nº 344, de 27 de novembro de
2018, publicado no DODF nº 230, de 05 de dezembro de 2018, páginas 4/5, e o que consta no Processo SEI
nº 00040-00063337/2018-16, resolve: CONVERTER, em pecúnia, nos termos do artigo 142, da Lei
Complementar nº 840, de 23 de dezembro de 2011, 05 (cinco) meses de Licença-Prêmio por Assiduidade
não usufruída e não computada para quaisquer outros efeitos, aos quais faz jus a servidora MARIZIA
FERREIRA DE SOUZA, matrícula nº 44.117-1, Agente de Gestão Fazendária, aposentada conforme a
Portaria nº 266, de 28 de dezembro de 2018, publicada no DODF nº 1, de 1 de janeiro de 2019, páginas
12/14.
CLIDIOMAR PEREIRA SOARES",False
